GeneID,GO
Lsat_1_v5_gn_0_18220,GO:0016301
Lsat_1_v5_gn_0_18220,GO:0016773
Lsat_1_v5_gn_0_18240,GO:0006629
Lsat_1_v5_gn_0_18240,GO:0016788
Lsat_1_v5_gn_0_18301,GO:0005524
Lsat_1_v5_gn_0_18301,GO:0005737
Lsat_1_v5_gn_0_18301,GO:0008152
Lsat_1_v5_gn_0_18301,GO:0016301
Lsat_1_v5_gn_0_18301,GO:0016773
Lsat_1_v5_gn_0_18380,GO:0003723
Lsat_1_v5_gn_0_18380,GO:0004525
Lsat_1_v5_gn_0_18380,GO:0006396
Lsat_1_v5_gn_0_18421,GO:0004190
Lsat_1_v5_gn_0_18421,GO:0006508
Lsat_1_v5_gn_0_18481,GO:0004499
Lsat_1_v5_gn_0_18481,GO:0050660
Lsat_1_v5_gn_0_18481,GO:0050661
Lsat_1_v5_gn_0_18481,GO:0055114
Lsat_1_v5_gn_0_18561,GO:0004499
Lsat_1_v5_gn_0_18561,GO:0050660
Lsat_1_v5_gn_0_18561,GO:0050661
Lsat_1_v5_gn_0_18561,GO:0055114
Lsat_1_v5_gn_0_1880,GO:0004190
Lsat_1_v5_gn_0_1880,GO:0006508
Lsat_1_v5_gn_0_18840,GO:0005506
Lsat_1_v5_gn_0_18840,GO:0009055
Lsat_1_v5_gn_0_18840,GO:0016705
Lsat_1_v5_gn_0_18840,GO:0020037
Lsat_1_v5_gn_0_18840,GO:0055114
Lsat_1_v5_gn_0_18900,GO:0016021
Lsat_1_v5_gn_0_18900,GO:0022857
Lsat_1_v5_gn_0_18900,GO:0055085
Lsat_1_v5_gn_0_19021,GO:0030247
Lsat_1_v5_gn_0_19080,GO:0004672
Lsat_1_v5_gn_0_19080,GO:0005524
Lsat_1_v5_gn_0_19080,GO:0006468
Lsat_1_v5_gn_0_19100,GO:0004672
Lsat_1_v5_gn_0_19100,GO:0005524
Lsat_1_v5_gn_0_19100,GO:0006468
Lsat_1_v5_gn_0_19201,GO:0005783
Lsat_1_v5_gn_0_19201,GO:0016021
Lsat_1_v5_gn_0_19261,GO:0016491
Lsat_1_v5_gn_0_19261,GO:0016706
Lsat_1_v5_gn_0_19261,GO:0055114
Lsat_1_v5_gn_0_19321,GO:0004089
Lsat_1_v5_gn_0_19321,GO:0008270
