Light,Cultivar,Genotype,Color,Cy3G,Cy3_3MG,Cy3_6MG,Chlrogenic acid,Q3_6MbGG,Q3_6MGG,Q3G,Q3_6MG,Chicoric acid
WhiteLED,FancR,RLL4,Red,0.332107282,0.215123992,9.674501417,65.09810443,0.035819703,0.475914571,0.867089054,16.58678545,128.8155562
WhiteLED,HandR,RLL4,Red,0.192625933,0.139408398,5.722496579,20.1406396,0.040575267,0.264579177,0.679654656,5.618940349,41.3153519
WhiteLED,HandR,RLL4,Red,0.110919855,0.099242195,4.238708769,28.15044673,0.052100068,0.268400334,0.531215788,4.894658763,30.08726213
WhiteLED,HandR,RLL4,Red,0.254439169,0.190073868,7.273409087,24.69583284,0.05659713,0.299015357,0.655683937,6.664331934,37.88616346
WhiteLED,RFire,RLL4,Red,0.700418376,0.466560422,21.27433487,62.64673785,0.052720629,1.112968949,1.124735735,47.29761324,127.1092044
WhiteLED,RFire,RLL4,Red,0.494428827,0.328650018,15.26495951,48.31144044,0.037274597,0.807847133,0.762091589,35.07021822,102.219521
WhiteLED,RFire,RLL4,Red,0.647398641,0.40947099,19.51060716,46.17384371,0.083579554,1.034898289,0.806827063,43.41042479,103.5989452
WhiteLED,SunB,RLL4,Red,0.14668594,0.103670143,4.498666919,49.12343351,0.032076333,0.461657138,1.069338786,9.296977921,96.49453494
WhiteLED,SunB,RLL4,Red,0.188349828,0.128514584,5.890364409,60.96794358,0.031027987,0.510717013,0.756334519,11.37554686,105.3642109
WhiteLED,SunB,RLL4,Red,0.240624069,0.144438174,6.374918875,65.638799,0.042008693,0.382589166,0.777850092,10.76944303,85.04078262
WhiteLED,WineD,rll4,Red,0.209946391,0.184010229,9.87704759,90.30089949,0.060596147,0.554488861,0.958936854,17.62612432,131.9198
WhiteLED,WineD,rll4,Red,0.193958772,0.189680474,9.076209703,79.08309795,0.055648909,0.438781182,1.109400338,14.94239755,101.9354081
WhiteLED,WineD,rll4,Red,0.184073488,0.217154512,9.861833003,79.97575478,0.061331178,0.547834181,0.98553034,17.08377363,90.44102703
WhiteLED,GOak,RLL4,Green,0,0,0,25.42533491,0.041181426,0.243578323,1.074584005,5.095906485,74.93768211
WhiteLED,GOak,RLL4,Green,0,0,0,49.33944869,0.058228206,0.387669923,1.046574679,8.81741634,111.8958421
WhiteLED,GOak,RLL4,Green,0,0,0,48.87331472,0.036638815,0.469554976,1.274793073,10.08373692,115.030969
WhiteLED,HandG,RLL4,Green,0,0,0,29.83632533,0.065293904,0.385202501,0.599640931,6.355509724,45.63018083
WhiteLED,HandG,RLL4,Green,0,0,0,17.07678079,0.078086559,0.269246209,0.55453174,4.466767388,38.52571428
WhiteLED,HandG,RLL4,Green,0,0,0,13.52280991,0.066957665,0.171504117,0.542305267,3.527357375,28.811947
WhiteLED,GLeaf,RLL4,Green,0,0,0,31.62012889,0.077344277,0.155087271,0.581446321,2.068056931,43.8912733
WhiteLED,GLeaf,RLL4,Green,0,0,0,45.35008712,0.083730537,0.173839345,0.605976052,2.203785151,54.25365564
WhiteLED,GLeaf,RLL4,Green,0,0,0,77.67838264,0.131365103,0.349693072,0.897826647,4.59867072,97.41444816
WhiteLED,GButt,RLL4,Green,0,0,0,24.31775073,0.071385143,0.29776115,0.898198957,1.095250381,53.43993123
WhiteLED,GButt,RLL4,Green,0,0,0,34.59079171,0.066059813,0.311681175,0.753663063,1.268022902,67.17770726
WhiteLED,GButt,RLL4,Green,0,0,0,16.08718545,0.03360235,0.298933591,0.687878777,1.229131555,35.78211662
WhiteLED,FrIce,RLL4,Green,0,0,0,18.52315598,0.080135049,0.155150638,0.573268315,0.806910369,31.82013122
WhiteLED,FrIce,RLL4,Green,0,0,0,23.03077354,0.083297111,0.214797503,0.569256048,1.340774387,35.77705515
WhiteLED,FrIce,RLL4,Green,0,0,0,19.33997283,0.0683373,0.176847203,0.421502681,0.998283159,24.73820638
FL,RButt,rll4,Red,0.331597901,0.284178114,12.86580535,14.97035122,0.238270307,0.56403129,4.095933793,36.00052199,38.10212181
FL,RButt,rll4,Red,0.491259413,0.360684865,17.40607577,22.35911117,0.681152907,1.323274556,5.96484012,54.67298817,47.59215163
FL,RButt,rll4,Red,0.412007711,0.309162341,14.81303182,17.03034961,0.521214443,0.82771549,4.429128369,38.17569188,39.38255931
FL,RLeaf,rll4,Red,0.71384341,0.638872105,28.45361504,31.49643084,0.633353009,0.877214435,7.435081452,57.99501339,71.65328678
FL,RLeaf,rll4,Red,0.839261099,0.744912232,32.83035987,32.25770102,0.541114519,0.694212036,7.410242712,59.91566783,71.24582122
FL,RLeaf,rll4,Red,0.656705352,0.604896948,26.60186892,36.8273628,0.693519427,0.651802248,7.741714545,49.30381096,78.6476475
FL,ROak,rll4,Red,0.559120248,0.397210595,18.06749596,68.79550173,1.543593724,0.642869786,6.187838529,30.8770774,55.43816282
FL,ROak,rll4,Red,0.672058355,0.487155392,20.68307939,83.64190735,1.830437096,0.788264466,6.790384081,39.50513331,62.60848677
FL,ROak,rll4,Red,0.645876254,0.448950032,20.49440586,101.1047486,2.598085851,1.024578166,6.59651583,34.21465443,65.64234962
FL,RCos,rll4,Red,1.701217988,1.295918426,53.8627477,43.05926459,0.739305597,1.962490983,7.85404937,100.7448017,81.11753239
FL,RCos,rll4,Red,1.513209681,1.128383532,45.40651868,44.25669058,0.815965051,1.625585242,9.236020673,88.23404458,98.94236621
FL,RCos,rll4,Red,1.210935353,0.958591646,37.46947533,31.31479225,0.731303467,1.390371451,7.472303802,71.4598551,84.69094214
FL,FancR,RLL4,Red,0.312761265,0.278639696,12.52061889,54.95474437,1.350054172,0.580589262,7.990971484,15.51198347,70.64336842
FL,FancR,RLL4,Red,0.1946218,0.179307889,8.002917753,33.98915718,0.874855656,0.409440034,6.210614673,11.33044399,52.13200241
FL,FancR,RLL4,Red,0.336873089,0.313533874,13.98625276,55.5871546,1.649988423,0.526724201,8.11327962,16.99926318,72.35006868
FL,HandR,RLL4,Red,0.304344814,0.236927957,9.400988217,19.33382257,0.516984646,0.315286608,4.755536382,10.63741128,40.77875518
FL,HandR,RLL4,Red,0.290516795,0.21601746,9.048024264,31.00556368,0.778992763,0.409534326,4.13836497,11.00547785,36.39380285
FL,HandR,RLL4,Red,0.206836175,0.189971798,6.667214194,15.21046248,0.367479953,0.20203578,3.640697717,7.047317393,29.02109651
FL,RFire,RLL4,Red,0.117335422,0.1039889,5.270465685,47.40961925,1.464718938,0.606572273,5.609593869,10.87893716,47.29071904
FL,RFire,RLL4,Red,0.338262267,0.271192072,12.78193113,81.02244144,2.26939114,0.722138913,7.319876611,18.60323572,62.37605394
FL,RFire,RLL4,Red,0.335292959,0.261209672,12.468902,66.04131106,1.840324936,0.579797272,6.545129554,18.23382907,61.45898161
FL,SunB,RLL4,Red,0.313576159,0.218706219,10.77220857,50.4438106,1.494091823,0.670826098,5.442411382,14.80260151,45.759201
FL,SunB,RLL4,Red,0.224318848,0.158917422,7.905817768,50.86130728,1.547592945,0.529824686,5.258308247,10.91416878,42.81444043
FL,SunB,RLL4,Red,0.323879101,0.246432815,10.94519798,44.21246542,1.111754268,0.669131307,7.108540154,15.24695551,64.07942941
FL,WineD,rll4,Red,1.529841244,1.3367106,57.71852803,36.10557209,0.671474526,1.761605245,7.461210009,115.5766391,74.42690171
FL,WineD,rll4,Red,1.620260967,1.482691721,60.78171754,35.4312612,0.543381052,1.440317391,7.827736805,99.82964931,86.11515083
FL,WineD,rll4,Red,1.4055145,1.250170775,52.00975485,30.28651683,0.55215263,1.302871839,7.132497651,94.69392287,76.38156879
FL,GOak,RLL4,Green,0,0,0,21.03492962,0.549756913,0.349058573,5.341195562,4.127501232,43.96222453
FL,GOak,RLL4,Green,0,0,0,17.82816329,0.507686832,0.321320855,3.378321135,3.861753247,25.7577526
FL,GOak,RLL4,Green,0,0,0,21.01169886,0.339772756,0.258849485,4.310371207,4.823860634,34.50833876
FL,HandG,RLL4,Green,0,0,0,12.61118745,0.237029189,0.394683981,3.164684476,8.260790177,28.22240259
