"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","GeneID","clust"
"Lsat_1_v5_gn_1_109401",-0.411679067328853,1.32290689679322,-0.679514286366892,-0.428270280289293,0.622124076616204,0.822237532234001,1.20449217237197,-0.355750095091132,-0.830589160012093,1.07208977730988,0.315643692429502,-1.54929013252168,0.891712246152695,-0.562145861091105,1.02311801225105,-1.7121297840293,1.04856890982477,-1.15776323307856,-1.24640053185494,0.610639115680569,"Lsat_1_v5_gn_1_109401","Cluster_02"
"Lsat_1_v5_gn_1_112181",1.62622839594896,0.114907635250274,-0.416200635739533,-0.303590931937207,0.402683767668577,0.309102914863706,-0.244820608318027,-0.770261072951079,-0.711204699593461,0.9232051349691,-0.0182964458021575,1.81074025453938,1.31656061359631,-0.816619428366924,0.514906697500305,-0.0261298078431413,0.260145082422772,-2.00947206924329,-1.93813982021475,-0.0237449767498405,"Lsat_1_v5_gn_1_112181","Cluster_02"
"Lsat_1_v5_gn_1_115140",-0.333044990575497,1.04027262106477,0.198956023602177,-0.431730398804372,1.44922936916392,-1.20390882665067,0.241012437756842,-0.396731046483642,-1.72160062270743,0.397412983618642,0.637704511219397,0.722916230945575,1.46508624710647,-1.59782167177424,1.65908368868746,-0.968249632799324,0.0186199936451154,-0.496338415212202,-1.00998876431525,0.329120262512274,"Lsat_1_v5_gn_1_115140","Cluster_02"
"Lsat_1_v5_gn_1_116040",-0.615402028820497,-0.850089486954949,-1.16577280777343,0.594931087962956,1.46949810051743,-1.04020719249841,0.379142012878332,-0.270196728821233,0.995178686839822,0.892329487472816,-1.56204988910945,0.526267117649004,0.312006475565376,-0.247080646916616,1.48070829122845,-1.38895317307577,1.30419662480539,-1.41956887044474,0.153168071973962,0.451894867521572,"Lsat_1_v5_gn_1_116040","Cluster_02"
"Lsat_1_v5_gn_1_118400",-0.976198289244801,-0.706505456217461,-1.07969717585105,-0.361788189063659,0.619952203209642,0.638930467275866,0.0468258557299603,0.175282434461649,0.655534740643082,0.816736064323708,0.873843070411511,-1.12956616577113,-1.27055064601839,1.0934477334485,1.97750461857355,-1.24349655700087,-0.794036849638137,-0.178004617111719,-0.805124163361731,1.64691092120151,"Lsat_1_v5_gn_1_118400","Cluster_02"
"Lsat_1_v5_gn_1_118520",0.365395083715555,-0.573272910565664,-1.22382712719224,-1.24095583263367,1.04340535777367,1.19400515699612,1.15697561061779,-0.795283149474012,-0.936793398301429,-0.490807704951952,0.190661041506695,-0.786051896414775,0.375935001076348,0.804067651840209,1.36165490668701,-1.37135464089453,-0.26778511928545,0.0336646235296599,-0.829314158430637,1.98968150440128,"Lsat_1_v5_gn_1_118520","Cluster_02"
"Lsat_1_v5_gn_1_119601",0.186875262399223,0.669982566665111,0.441166919326867,-1.84727005698282,0.708706308600726,0.718755264273361,0.754707364282326,0.764625374525603,-1.43942114498651,1.16162790592817,0.107648750994717,0.270335332384958,0.946008788048117,-2.04369261192824,-0.0826546009067138,-0.0974922130379764,0.364673762863013,0.021295985428382,-1.96897171733106,0.363092759452756,"Lsat_1_v5_gn_1_119601","Cluster_02"
"Lsat_1_v5_gn_1_120281",-0.135331322445303,1.34249812879779,0.539033394961925,-1.58029277740685,1.23006580563485,0.250977091583336,1.05064614972993,0.530589240335149,-1.28068128580779,1.30898014773547,-0.579480199252022,-0.255021160120143,0.7173172338297,-1.89583884614867,0.626345941834698,-0.695488879902109,0.596785167851413,-0.624803974110231,-1.3754480083992,0.229148151298057,"Lsat_1_v5_gn_1_120281","Cluster_02"
"Lsat_1_v5_gn_1_120680",-0.205324389881396,0.59205049087684,0.889287712494453,-1.28419902037471,1.36244428525398,0.775344857226529,0.0933964740174978,0.732401180903279,-1.0055205733733,0.694561233217172,0.815914357434548,-0.368831290212371,-0.686434398814507,-1.56761286021282,0.552912285396383,-1.02507682743658,0.353192735293895,0.5253832588024,-2.26663776585649,1.0227482552452,"Lsat_1_v5_gn_1_120680","Cluster_02"
"Lsat_1_v5_gn_1_125261",-0.585333440669365,-0.247387935164643,-0.565327710623323,-1.68485898609423,-0.590128536275785,0.99203979113656,1.49171180422029,0.786344836655769,-1.35699902470528,0.408472053031364,0.356026053200632,0.997392697849212,1.0997456799467,-1.59228580084671,-0.720204015095829,-0.190517280332754,1.86386028477212,-0.308689400715436,-0.43129833634347,0.277437266054183,"Lsat_1_v5_gn_1_125261","Cluster_02"
"Lsat_1_v5_gn_1_125481",-0.764932420261293,0.389233056599215,-1.34496562038183,-1.47617513517555,0.596633353442908,0.919424442829833,1.44311951635376,0.694658575307378,-0.786813940271285,-0.0689627869911202,-0.507151996329537,-0.774939235549442,1.83337339919997,-1.37210702842852,0.563374666231657,0.21828800609179,1.27256715997686,0.0112796145176787,-1.27178043475893,0.42587680759645,"Lsat_1_v5_gn_1_125481","Cluster_02"
"Lsat_1_v5_gn_1_130400",0.792304473479824,-0.470650798752708,-0.189098606766985,-0.54649708232939,1.18368501699062,0.884343578168023,0.243209365333411,0.728087226001698,0.45533503386945,-0.260472987048354,2.06704347324763,-0.0325450367793196,-0.822983651905996,-0.249970275842051,-1.22278304490191,-1.91901725101454,-1.31999219688382,0.379458536150555,-0.999910486960752,1.30045471594456,"Lsat_1_v5_gn_1_130400","Cluster_02"
"Lsat_1_v5_gn_1_13620",1.475836040375,-0.305745954074702,-1.60354712575603,-1.6719583472415,-0.102938430940559,2.08368571064829,0.920974461657316,-0.234194684437706,0.200743726635082,0.519915866734357,1.19461245365096,-0.766940138411474,0.120230171878001,-0.986769023227844,0.239480827218658,0.86936119583743,-0.244665646447651,-0.950126171609019,-0.98278698325812,0.224832050769506,"Lsat_1_v5_gn_1_13620","Cluster_02"
"Lsat_1_v5_gn_1_13741",1.16155422516569,0.0102152841933747,-0.334965294289949,-0.723129007342397,0.357294064005871,2.10347327017188,0.692925783612176,0.33264681535275,-0.498306835691085,0.535837298206543,1.14388066139361,-1.01817949209206,0.872063983910625,0.0271240730747091,0.646491709671428,-0.500311258700205,-0.197568709016449,-2.06573252304362,-1.18090403505656,-1.36441001352632,"Lsat_1_v5_gn_1_13741","Cluster_02"
"Lsat_1_v5_gn_1_14841",-1.01640815368712,0.104347250493532,-0.282548169554391,-1.53278717759005,0.510042052030994,0.180031725891516,-0.0845633499152835,0.0714810226918032,-0.845442910629167,0.267198285854873,0.889015792690346,1.84946147455924,2.0746971382256,-1.07969684245368,0.366199324964654,-0.618488060427877,1.46893936699995,-0.343767004884309,-1.04605026051356,-0.931661504747075,"Lsat_1_v5_gn_1_14841","Cluster_02"
"Lsat_1_v5_gn_1_15221",-0.799375035242366,0.919535927190462,0.310354501111764,-0.348542285607264,1.86565643733722,-0.45795031387714,0.142294061108159,-0.123796670199728,-0.706748900838907,1.90839030718047,-0.605836499786189,-0.321880313697942,-0.584228046940495,-1.43496283150197,0.368634727787335,-0.664782640217952,0.630527337307182,-0.777884710344953,-1.20032759668707,1.88092254591938,"Lsat_1_v5_gn_1_15221","Cluster_02"
"Lsat_1_v5_gn_1_1541",-0.281337911471645,0.648929145231783,-2.37240872312768,-0.123294982958362,-0.185089168989779,0.543027639645254,1.61745474596327,-0.000382987033615035,1.04840477611427,0.317166458087678,-0.57941906961255,-0.352795102741411,0.388789047389766,-1.10870933568376,1.3523915433275,-1.48735115310447,0.513914592610037,-1.19929227660821,0.221836687827022,1.03816607513492,"Lsat_1_v5_gn_1_1541","Cluster_02"
"Lsat_1_v5_gn_1_16440",-1.18955447292718,-0.193876988008501,-1.45600436880129,-0.833229319718051,1.03023227905369,0.953769798894755,0.532048058186833,0.0633997040219331,1.3116865726349,1.17188000030505,1.081818383291,-0.0547515327680055,1.15792722014982,-1.17596380900342,0.728462031657177,-1.39845385997041,0.401664729454971,-1.58897661210373,-0.558029327202076,0.0159515128525488,"Lsat_1_v5_gn_1_16440","Cluster_02"
