"","Sample_01","Sample_02","Sample_03","Sample_04","Sample_05","Sample_06","Sample_07","Sample_08","Sample_09","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","GeneID","clust"
"Lsat_1_v5_gn_7_86981",0.0654894646526672,-0.25670952787814,-1.63501391428096,-0.671520887323316,1.10227484923649,-0.879594709368118,-0.883865747390872,-1.20018495454397,0.22103444417732,-1.65325582161152,-1.22352691960971,0.147511647263682,-0.354779436921126,0.323821937879171,-0.21845157357831,0.160945499608352,-1.11106449839411,-2.18908614708762,0.274915897492509,-0.495362345982993,0.699123703516384,0.360873297613198,1.40391978205163,-0.709626259726283,1.8610148598232,2.06264205243159,1.02496542209385,1.01052095161056,-0.0302833776455182,0.242343395795573,0.74018782671013,1.57963259734892,-0.382110136281452,0.0493833565370259,0.699750271783919,-0.135915000002236,"Lsat_1_v5_gn_7_86981","Cluster_01"
"Lsat_1_v5_gn_7_87060",0.624908717847241,-0.0355690956022652,0.0995526082274843,2.03536925911959,-0.868091808995264,-0.286038973880594,2.09728322475764,0.0975421579874175,0.75062376725372,-0.540300091180071,-0.778669237853827,-1.26385405856377,-0.226997929972782,-1.45301448280565,-0.576362066929617,-0.39427689427942,-1.81517927414656,0.553059433189894,-0.723803318166431,-0.0653373168381102,-0.761101054248144,0.980952957725957,-0.616798840279406,1.65669644543929,0.170138968903208,-0.784049308009476,2.26095739907992,0.0789338053652767,0.305161325105047,-0.66543589441105,0.888059293501992,-1.17575232734455,-0.129058058027054,0.186783132193091,-0.841982505924311,1.21565004176164,"Lsat_1_v5_gn_7_87060","Cluster_01"
"Lsat_1_v5_gn_7_87121",0.746657582365608,-0.952977082711472,-0.91171195718344,0.146208572847881,-0.504614755563342,-1.23622074266993,0.0105546967780693,0.168860149499762,0.261236480719984,-0.0426083841459121,-0.928936935349666,-2.23372347880312,-1.1088661669623,-1.0311397064212,-0.935015769143585,0.12699003451875,-1.03601716838332,-1.22132334022153,2.27275334763321,0.190116808077351,0.00162328637640863,1.36952799567676,1.75535630859735,0.443822476447519,0.480553818429514,1.58813600657929,1.36541877706606,1.38403282397162,0.131258620381333,-0.320288176600194,0.327406587842523,0.368943419109163,-1.15935405964589,-0.170220258157248,-0.0982749835286263,0.751835172572622,"Lsat_1_v5_gn_7_87121","Cluster_01"
"Lsat_1_v5_gn_7_91800",-0.0121752550270801,0.428979744661932,-0.175432426806415,0.161903585394959,-1.25613334710589,-0.962714979599745,0.249580541432421,-0.570619916616218,-0.568108575195664,-0.749766717236383,-0.256977472434053,-1.37036531126814,-0.691659607315502,-1.88904044933895,-1.74695308150561,-0.668274968176961,-1.73656150003551,-0.271674816382473,0.285240224692527,1.32025769826691,0.622272189841207,1.43111641085387,0.281114276329538,0.44130007704403,1.32433129251819,0.700834543094126,2.82431760376459,1.22628228569507,0.208955378752514,-0.0845275382679806,0.927906336860965,-0.195406497134526,-0.057328216876229,-0.0758047456299549,-0.169888154806354,1.07502138755677,"Lsat_1_v5_gn_7_91800","Cluster_01"
"Lsat_1_v5_gn_7_94860",0.0462739829018298,-0.908683170716824,0.720576568805357,-1.02943474697503,0.199159140435972,0.202452875865816,-0.790382463007308,0.20581907030521,0.529637292762956,-0.779779329519295,-2.00633220559189,-1.25560853543885,-1.31168741934547,-0.681477095952512,0.181505303845027,0.820013761480161,-1.22958323965847,-2.94757586924466,0.669222926333378,-0.990431197241971,1.46042737449938,0.775973607356139,0.732588169271005,0.50635081232671,0.277784087351066,1.48336570874718,0.149934191363855,0.751107086097536,0.519718872751385,1.7313103526539,0.210022793509746,0.47995802603523,-0.0206669623364846,0.826303037943667,0.467229043879362,0.0049081485068893,"Lsat_1_v5_gn_7_94860","Cluster_01"
"Lsat_1_v5_gn_7_96781",-0.849040892378507,-0.540715016437903,-0.203975692030694,0.248984204776096,-0.673218912391829,-1.98707782496044,-0.302094764533289,-0.335825006029637,-0.569428374277859,-0.154454402001583,-0.625480551916375,-0.893419938923851,-1.0670106411463,-1.31452913055042,-1.00020802970277,0.0263421556514554,-0.433907015473809,-1.0187112016921,1.1833309429647,0.972816536855043,1.32654054193738,1.87824484521364,1.06743335558023,0.699389143132029,0.353151663826413,1.48860564595494,1.56681856805192,1.31657317548055,0.840059289832819,-0.0910137967545621,0.490001682811754,0.314081274472958,-2.30366552518285,-0.147244489566339,0.0527198729915449,0.685928306417647,"Lsat_1_v5_gn_7_96781","Cluster_01"
"Lsat_1_v5_gn_7_97281",0.0283889051121787,-0.741260630336271,-0.502093537758446,-0.0816949735945901,-1.38446918909175,-1.61398370028818,-0.723658395387303,-0.487996063960478,-0.0882038819714789,0.330591379178373,-1.00366009824176,-0.759785169460952,-0.342878443922016,-0.723689922737309,-2.16377926367057,-1.02864473911503,-0.392232924312487,-1.21635467838324,1.28129628664648,-0.525458138925995,0.204659059342674,-0.273608392476259,1.64371617756392,0.246991123600943,0.90853011808795,1.95482099674219,0.473022320109943,2.04248747873324,0.329310353151848,1.30519553858045,1.52232076381398,0.357187337275056,0.282793655999213,0.601755255445036,0.773331032810913,-0.232945638560184,"Lsat_1_v5_gn_7_97281","Cluster_01"
"Lsat_1_v5_gn_7_9941",-0.945836649348796,-2.01625654219258,0.0427362909430712,0.0166301618932376,0.168315920643868,-0.836667095176028,-0.182232920487534,-0.425152437109195,-0.378735696373215,-0.856253738218619,-1.14356335498717,-0.599088261747094,-0.830762159350689,-0.153404619111989,-1.01335463827861,1.14048817058969,-1.01876568208656,-2.45146306553072,0.994054192153352,-0.863909195541004,-0.140352644890751,1.08406722989017,1.382699885777,0.18490273311773,2.04733213949167,0.787442437365345,1.64189304798219,-0.00514897916467436,0.312089232506221,1.07504053991218,0.598192401473955,1.33386041912491,-0.182132152347905,0.583561794494733,0.0949618804744761,0.554811354109355,"Lsat_1_v5_gn_7_9941","Cluster_01"
"Lsat_1_v5_gn_8_100200",-0.681907521465771,1.04901415177457,0.0445808733509826,1.4157302945395,-0.0987025961480123,-0.423432274737597,0.113657563945785,-0.568210862005507,-0.673893201721644,-1.34865625284809,-0.684549047694874,-1.08618730963675,0.818395616880572,-0.640610251439281,-0.924510481867799,-0.65858616338821,-2.10736619177936,-0.417726532032381,0.708492342850169,1.69927317372411,0.76139952394705,1.95206263076021,0.0519952608229049,-0.964619901368089,-0.844407964514638,-0.548287034151968,1.37471076160575,0.462934785753988,1.55778123145689,0.599594140928692,1.42542621152826,-0.0416376634957782,-0.378112552289714,-0.827371850892972,-1.17911229494737,1.06283938455638,"Lsat_1_v5_gn_8_100200","Cluster_01"
"Lsat_1_v5_gn_8_101401",-0.90390988532635,0.311744214508509,-0.420201305576321,0.15458957277012,-0.172377949816632,-0.738358056400859,-0.726603578832569,-0.478053195216076,-0.659729502642092,-1.82331919097964,-0.93221090803585,-0.650109231392708,-0.199322961907234,-0.645748531422501,-0.858743700941458,-0.501331169564174,-2.01235663906959,-1.50449832580902,1.32137875540503,1.4741997973471,1.86735074840911,2.21270350454883,1.38320709026061,0.297250675742982,0.601195977054848,1.26112421354677,1.31819166551936,-0.170846474732602,0.61434492620366,0.649005620430656,0.685247980428128,0.299278917309986,-0.490102692661695,-0.295903765446867,-0.139790034904648,-0.127296558806817,"Lsat_1_v5_gn_8_101401","Cluster_01"
